Girls,Total,Proportion,Year
44,252,0.1746031746031746,1965
34,258,0.13178294573643412,1966
43,314,0.13694267515923567,1967
36,299,0.12040133779264214,1968
63,396,0.1590909090909091,1969
76,416,0.18269230769230768,1970
83,394,0.21065989847715735,1971
60,363,0.1652892561983471,1972
91,347,0.2622478386167147,1973
97,374,0.25935828877005346,1974
115,398,0.2889447236180904,1975
143,448,0.31919642857142855,1976
211,581,0.36316695352839934,1977
261,651,0.4009216589861751,1978
442,944,0.4682203389830508,1979
1061,1770,0.5994350282485875,1980
1770,2536,0.6979495268138801,1981
1716,2346,0.731457800511509,1982
1659,2281,0.7273125822007891,1983
2175,2875,0.7565217391304347,1984
2280,2964,0.7692307692307693,1985
2475,3149,0.785963798031121,1986
2924,3692,0.7919826652221018,1987
3795,4624,0.8207179930795848,1988
4427,5253,0.8427565200837617,1989
6047,6983,0.8659601890305026,1990
6792,7698,0.882307092751364,1991
7787,8775,0.8874074074074074,1992
8569,9431,0.9085993001802566,1993
10657,11680,0.9124143835616438,1994
10875,12132,0.8963897131552918,1995
10291,11507,0.8943251933605632,1996
10341,11403,0.9068666140489345,1997
10214,11165,0.9148231079265562,1998
9606,10503,0.9145958297629249,1999
9502,10340,0.9189555125725338,2000
8734,9516,0.917822614543926,2001
8431,9138,0.9226307725979427,2002
7926,8674,0.9137652755360849,2003
7293,8301,0.8785688471268522,2004
6747,7647,0.8823067869752844,2005
6489,7310,0.887688098495212,2006
5662,6390,0.8860719874804381,2007
5333,6046,0.8820707906053589,2008
4610,5201,0.886368006152663,2009
4072,4569,0.8912234624644342,2010
3665,4140,0.8852657004830918,2011
3392,3833,0.8849465170884425,2012
3107,3470,0.8953890489913545,2013
2984,3386,0.8812758417011223,2014
