Girls,Total,Proportion,Year
5,85,0.058823529411764705,1965
11,100,0.11,1966
14,94,0.14893617021276595,1967
11,146,0.07534246575342465,1968
18,134,0.13432835820895522,1969
21,140,0.15,1970
22,164,0.13414634146341464,1971
21,148,0.14189189189189189,1972
27,165,0.16363636363636364,1973
41,223,0.18385650224215247,1974
38,223,0.17040358744394618,1975
68,309,0.22006472491909385,1976
123,443,0.27765237020316025,1977
119,463,0.2570194384449244,1978
148,596,0.2483221476510067,1979
237,854,0.2775175644028103,1980
386,1162,0.33218588640275387,1981
605,1553,0.38956857694784286,1982
683,1738,0.39298043728423476,1983
868,2283,0.38020148926850633,1984
1050,2844,0.3691983122362869,1985
1214,3245,0.3741140215716487,1986
1703,4133,0.41204935881925964,1987
2795,6283,0.4448511857392965,1988
4068,8924,0.4558493948901838,1989
7256,13830,0.5246565437454809,1990
10252,18220,0.5626783754116356,1991
14950,23190,0.6446744286330315,1992
21266,28954,0.734475374732334,1993
20731,27355,0.7578504843721441,1994
20424,25943,0.7872643873106425,1995
19151,23947,0.7997243913642628,1996
19503,23835,0.8182504719949654,1997
18572,22153,0.8383514648128921,1998
16905,19975,0.8463078848560701,1999
15078,17931,0.8408900786347666,2000
13687,15996,0.8556514128532133,2001
11465,13429,0.8537493484250502,2002
10304,12132,0.8493241015496208,2003
9300,10912,0.8522727272727273,2004
8669,10245,0.8461688628599316,2005
8553,10181,0.8400942932914252,2006
7954,9384,0.847612958226769,2007
8330,9694,0.8592944089127296,2008
7578,8670,0.8740484429065744,2009
5892,6845,0.8607742878013148,2010
5184,6081,0.852491366551554,2011
4852,5734,0.846180676665504,2012
4125,4947,0.8338386901152214,2013
3782,4473,0.8455175497429018,2014
