Unnamed: 0,Id,Count,Year
1275582,1275584,12295,1965
1299863,1299865,11751,1966
1324228,1324230,10301,1967
1349370,1349372,8993,1968
1375756,1375758,7936,1969
1404269,1404271,7092,1970
1434013,1434015,6247,1971
1465172,1465174,4842,1972
1496837,1496839,3958,1973
1528059,1528061,3914,1974
1561001,1561003,3528,1975
1595865,1595867,3294,1976
1630079,1630081,3246,1977
1666782,1666784,3070,1978
1703563,1703565,2888,1979
1742078,1742080,2826,1980
1781105,1781107,2929,1981
1819749,1819751,2831,1982
1859001,1859003,2544,1983
1897421,1897423,2519,1984
1937513,1937515,2626,1985
1978093,1978095,2448,1986
2019124,2019126,2269,1987
2063566,2063568,2362,1988
2107983,2107985,2380,1989
2156734,2156736,2412,1990
2206357,2206359,2526,1991
2257361,2257363,2205,1992
2309700,2309702,1999,1993
2361637,2361639,2204,1994
2414206,2414208,2013,1995
1222890,1222891,1824,1996
2523550,2523552,1530,1997
2579784,2579786,1483,1998
2632794,2632796,1422,1999
2692879,2692881,1380,2000
2750854,2750856,1425,2001
1392793,1392794,1360,2002
2875404,2875406,1183,2003
2940315,2940317,1148,2004
1486647,1486648,1013,2005
1519188,1519189,1014,2006
1553293,1553294,900,2007
1588241,1588242,856,2008
1623374,1623375,664,2009
1658110,1658111,572,2010
1692172,1692173,537,2011
1726152,1726153,436,2012
1759874,1759875,409,2013
1793140,1793141,369,2014
