Unnamed: 0,Id,Count,Year
1275713,1275715,17697,1965
1299520,1299522,17043,1966
1323943,1323945,16542,1967
1349229,1349231,15515,1968
1375599,1375601,14711,1969
1403911,1403913,13697,1970
1433779,1433781,11718,1971
1464452,1464454,9576,1972
1495393,1495395,8396,1973
1527537,1527539,7721,1974
1560295,1560297,7124,1975
1594717,1594719,6508,1976
1629692,1629694,6093,1977
1666911,1666913,5792,1978
1703505,1703507,5749,1979
1742114,1742116,5803,1980
1780959,1780961,5576,1981
1819940,1819942,5249,1982
1859234,1859236,4743,1983
1897844,1897846,4554,1984
1937841,1937843,4329,1985
1977801,1977803,4266,1986
2020331,2020333,4181,1987
2063388,2063390,4208,1988
2110632,2110634,4126,1989
2160295,2160297,3915,1990
2212333,2212335,3680,1991
2261658,2261660,3235,1992
2314634,2314636,2889,1993
2370215,2370217,2569,1994
1212538,1212539,2399,1995
1238763,1238764,2230,1996
1265456,1265457,2096,1997
1292877,1292878,1846,1998
2641438,2641440,1875,1999
1350392,1350393,1750,2000
1380478,1380479,1652,2001
1410869,1410870,1519,2002
1441781,1441782,1403,2003
1473345,1473346,1451,2004
1505759,1505760,1298,2005
1539154,1539155,1373,2006
1573772,1573773,1172,2007
1608608,1608609,1088,2008
1643413,1643414,924,2009
1677734,1677735,909,2010
1711513,1711514,885,2011
1745347,1745348,794,2012
1778778,1778779,740,2013
1811852,1811853,780,2014
